# This is the projection (inner product) of the "electronic" state at \lambda_{ir} = 0
# with its corresponding state at \lambda_{ir} > 0
# https://research-engine.appspot.com/37001/datasets/2003/5660638047109120
# \lambda_{ir}    projection        abs(projection)  energy-from-ground-state (cm-1)
.00000		  1.000000	     1.000000	     1376.41780
.00500		 -0.999949 	     0.999949	     1376.35921
.01000		  0.999796	     0.999796        1376.18282		
.01500		 -0.999535 	     0.999535	     1375.88680
.02000		  0.999158	     0.999158        1375.46799
.02500            0.998652           0.998652        1374.92182
.03000            0.998001           0.998001        1374.24215
.03500           -0.997182           0.997182        1373.42106
.04000           -0.996166           0.996166        1372.44852
.04500            0.994916	     0.994916        1371.31196
.05000            0.993385           0.993385        1369.99580
.05500            0.991512           0.991512        1368.48067
.06000            0.989217           0.989217        1366.74244
.06500            0.986400           0.986400        1364.75097	          
.07000            0.982925           0.982925        1362.46830          
.07500           -0.978617           0.978617        1359.84630          
.08000            0.973241           0.973241        1356.82337          
.08500            0.966477           0.966477        1353.31994          
.09000           -0.957895           0.957895        1349.23238          
.09500           -0.946900           0.946900        1344.42486          
.10000            0.932678           0.932678        1338.71895          
.10500           -0.914120           0.914120        1331.88216          
.11000            0.889755           0.889755        1323.61884          
.11500            0.857750           0.857750        1313.57473          
.12000            0.816109           0.816109        1301.37841          
.12500            0.763258           0.763258        1286.75703          
.13000            0.699086           0.699086        1269.75091          
.13500           -0.625951           0.625951        1250.95823          
.14000            0.548591           0.548591        1231.58618          
.14500            0.472521           0.472521        1213.09932          
.15000            0.402079           0.402079        1196.63407          
.15500           -0.339557           0.339557        1182.65896          
.16000           -0.285498           0.285498        1171.07785          
.16500            0.239425           0.239425        1161.52976          
.17000            0.200431           0.200431        1153.61815          
.17500            0.167526           0.167526        1147.00972          
.18000           -0.139791           0.139791        1141.45240          
.18500            0.116424           0.116424        1136.76275          
.19000           -0.096750           0.096750        1132.80769          
.19500           -0.080201           0.080201        1129.48931          
.20000           -0.066299           0.066299        1126.73403          
.20500            0.054644           0.054644        1124.48531          
.21000           -0.044894           0.044894        1122.69898          
.21500            0.036761           0.036761        1121.34012          
.22000           -0.029996           0.029996        1120.38108          
.22500            0.024388           0.024388        1119.80008          
.23000           -0.019756           0.019756        1119.58027          
.23500           -0.015943           0.015943        1119.70897          
.24000            0.012816           0.012816        1120.17720          
.24500            0.010262           0.010262        1120.97922          
.25000           -0.008185           0.008185        1122.11220          
