# lir   elecOccup_1el_11       elecOccup_1el_12    elecOccup_1el_13    elecOccup_1el_22       elecOccup_1ir_11      elecOccup_1ir_12    elecOccup_1ir_13     elecOccup_1ir_22      elecOccup_grd_11      elecOccup_grd_12    elecOccup_grd_13     elecOccup_grd_22
 0.00   1.35662181586389e-29   0.1971687836487033  0.1056624327025932  9.194461754011483e-29  0.002762092462637722  0.2012967358196432	0.08522281802456838  0.01884323574701428   0.002762092462637705	 0.2012967358196432  0.08522281802456809  0.0188432357470142
 0.01   1.141193543922766e-29  0.1972011083413077  0.1055977833173898  7.526301762977203e-29  0.002764489605939314  0.2013690161460158	0.08508622225840717  0.01882251168724041   0.002762759567864074	 0.2013161948774957  0.08518590839428794  0.01883788456571017
 0.02   1.037770617645289e-29  0.1972995139068773  0.105400972186242   7.080527609051474e-29  0.002771704170728523  0.2015860889090799	0.0846759584492963   0.01876031912363035   0.002764788226119681	 0.2013753289506409  0.0850737449546199	  0.01882161783595668
 0.03   1.114031721663713e-29  0.1974685064937224  0.1050629870125498  7.314941551401125e-29  0.002783810278844182  0.2019487586873752	0.08399038962858532  0.01865656543563973   0.002768264258883012	 0.2014765101434602  0.0848818316633197	  0.01879376758175718
 0.04   2.391907387799376e-29  0.1977163622522703  0.1045672754954605  1.532115457088833e-28  0.002800947533626487  0.202458731553829	0.08302609363318     0.01851099145106483   0.002773344388725133	 0.2016240568681556  0.08460198273350004  0.01875311828292904
 0.05   8.253027699167827e-30  0.1980565137712433  0.1038869724575093  4.919187068041336e-29  0.002823346363026938  0.2031191655197816	0.08177681523171836  0.01832301473137785   0.00278028087591543	 0.2018248868199884  0.08422108343744505  0.01869772409333068
 0.06   4.21834328414575e-30   0.1985100771092875  0.1029798457814231  2.177460468555102e-29  0.002851366077566268  0.2039354416194323	0.08023199446273373  0.01809151244167555   0.002789466186331441	 0.2020896908577523  0.08371886178853598  0.01862458061926559
 0.07   1.53905765713612e-29   0.1991104273091156  0.1017791453817664  9.460529306672443e-29  0.002885548149774714  0.2049161342554562	0.07837490745606483  0.01781455176649577   0.002801513781002695	 0.2024350317180863  0.08306390328584935  0.01852903899395714
 0.08   1.798083704994064e-27  0.1999116312013096  0.1001767375973957  9.703439653033984e-27  0.002926686796801548  0.2060740895865183	0.07618058655954808  0.01748909494121633   0.002817408707920669	 0.202887196522499   0.08220633205405771  0.01840373238604766
 0.09   6.307504527108906e-28  0.2010041953334481  0.09799160933310092 3.614610281921705e-27  0.00297591480645371   0.2074273251147589	0.07361405582534625  0.01711075827738955   0.002838800866017846	 0.2034895466355434  0.08106383936332694  0.01823653299911877
 0.10   2.406907362500991e-29  0.2025434670403325  0.09491306591932591 1.159838290125631e-28  0.003034788201007172  0.2089989897541788	0.07063031751366652  0.0166738295539335	   0.002868601493171368	 0.2043170381083987  0.07949405772415521  0.01800652913175438
 0.11   1.023636726341388e-29  0.2047902048452696  0.09041959030946183 4.42413857351416e-29   0.003105316177962483  0.2108146569420914	0.06717937028730582  0.01617199930109717   0.002912216601926571	 0.2055048790457857  0.07723996293829466  0.01767612473642258
 0.12   2.031063713274926e-29  0.2081047770606269  0.08379044587874764 8.735286797239196e-29  0.003189810176526395  0.2128938145280159	0.06322225238927708  0.01560061675636583   0.002979862006134339	 0.2072971934989428  0.07383687108456261  0.0171777598227875
