#coupling    1ir                   2ir                  3ir                  el                        el+1ir
0.000        3.75408410984397      3.75408097273686     3.75407494449692     0                         1.15596112894688
0.005        3.7492310733039       3.74922955295465     3.74922575498679     -0.000276424550215559     1.1526691939125
0.010        3.73461196897951      3.73467044285637     3.7347253909862      -0.00111324209624221      1.14279027160006
0.015        3.71005806697125      3.71035987318008     3.71065385451921     -0.00252025573602598      1.12631250588314
0.020        3.6752715627028       3.6762393096973      3.67717366529545     -0.00452090451584671      1.10321391439352
0.025        3.62982320763901      3.63220883493287     3.63447036525237     -0.00714658968963315      1.07346067862391
0.030        3.5731294816735       3.57812696659834     3.58276300299986     -0.0104412533724414       1.03700526333731
0.035        3.50442893527783      3.51380327971367     3.52227222180456     -0.0144610185143313       0.993778221732269
0.040        3.42274702412228      3.43898321901153     3.45321113565858     -0.0192790998819445       0.943687306153586
0.045        3.32685200545442      3.35333667545052     3.3757595002538      -0.0249902325749747       0.886613313206721
0.050        3.215196054619        3.25644881299858     3.29005648059816     -0.0317108656726552       0.822401142538091
0.055        3.08583288655445      3.14781026522646     3.19618631953328     -0.0395917318268813       0.750859439151317
0.060        2.93631242308014      3.02681405652868     3.09418029115903     -0.0488249653693877       0.67175705859067
0.065        2.76355038476169      2.89275617388982     2.9840140631941      -0.0596558131768153       0.584824033359424
0.070        2.56362861684252      2.74487258227146     2.8656342527544      -0.0724033358870572       0.489755210514791
0.075        2.33154430754401      2.5823820783417      2.73898649378731     -0.0874823328872691       0.386225155235071
0.080        2.06088206924956      2.40461932461684     2.60407259132927     -0.10543876936945         0.273920667020752
0.085        1.74331611311604      2.21125779934986     2.46105878404833     -0.12699488449243         0.152579204551712
0.090        1.36801907600863      2.00272825126387     2.31044624583902     -0.153111599171046        0.0220940420811829
0.095        0.92076905127497      1.78097753122823     2.15334112050985     -0.185059963476871        -0.117350425196038
0.100        0.38281454019345      1.55078058436488     1.99188377154827     -0.224501076502986        -0.26504252931175
0.105       -0.270426509582984     1.32214874325111     1.83000673113574     -0.273505251469058        -0.419331078253224
0.110        -1.07104283282971     1.11418133770794     1.67450660164798     -0.334424596440475        -0.577085681589863
0.115        -2.05950151479453     0.961316288859543    1.53674987003246     -0.40928836715879         -0.732819068548861
0.120        -3.28342656181262     0.921612226003539    1.43483292879402     -0.498272982823549        -0.877661017049709
0.125        -4.79049976092665     1.08333859124046     1.39563095966506     -0.5967743280293          -0.998533553453911
0.130        -6.60822531314264     1.55682582485285     1.4542332537032      -0.691855084915853        -1.07859932987531
0.135        -8.7067567811234      2.42542425515536     1.64559661389114     -0.762141192181766        -1.10123291841451
0.140        -10.9589972892242     3.64522943934263     1.98426196339562     -0.78664357122568         -1.05872216870984
0.145        -13.1464810908736     4.97093079379938     2.44086454309501     -0.759454527815882        -0.961135492742653
0.150        -15.0475598676874     6.04866100239203     2.94243568332143     -0.694815598540408        -0.834658696478444
0.155        -16.5474198905704     6.63433893224545     3.40685261566373     -0.615526318132015        -0.707382053998173
0.160        -17.6646317765383     6.70503208645045     3.77989138200558     -0.538625270967932        -0.596401067904572
0.165        -18.4886725844391     6.4009464421849      4.04451634519871     -0.471213613271341        -0.506300214036718
0.170        -19.1128826386525     5.91908970984442     4.20941862838626     -0.413898771652976        -0.434589941634812
0.175        -19.6089931017832     5.42842915377239     4.29454179890854     -0.364849850670825        -0.376744741319172
0.180        -20.0263510029911     5.02261042843938     4.32213722738837     -0.321936706842719        -0.328619413487191
0.185        -20.3957922998263     4.72263408858863     4.312108080507       -0.283424610421922        -0.287100000754338
0.190        -20.7345699608462     4.51161587739751     4.28025079040591     -0.248062622354075        -0.250042900158927
0.195        -21.0614578485286     4.3643376112363      4.23788097262981     -0.214975729509284        -0.216021373593691
0.200        -21.3923762419724     4.25968715969281     4.19232772721954     -0.183539648836862        -0.184081711419366
0.205        -21.7127336500405     4.18307932557071     4.14801489822297     -0.153294256965507        -0.153568285579298
0.210        -22.035873003848      4.12496601222104     4.10709775121468     -0.123878703449706        -0.124015632910702
0.215        -22.4360065727611     4.07927892014588     4.07035664205979     -0.094995015738013        -0.0950619451116308
0.220        -22.6794353269715     4.0423444725301      4.03797671798693     -0.0663821320903521       -0.0664138525446817
0.225        -22.9728750069576     4.01172379428521     4.00962633882243     -0.0378064895137869       -0.0378209662724671
0.230        -24.355535803452      3.98577086307432     3.98478209294645     -0.00904618129739223      -0.00905318018190412
0.235        -25.1697335666103     3.96345888759198     3.96300164432054     0.0201053626999693        0.0201026794000116
0.240        -25.6750249429071     3.9439770342266      3.94376976742366     0.0498498566788659        0.0498498560472205
0.245        -35.8943915402254     3.92674626708759     3.92665359731519     0.080381548742097         0.0803817415967461
0.250        -69.8825051433074     3.91137771267383     3.91133718929014     0.111891657692389         0.111891694279853
