# Polaron formation energy (ev) for 16O and 18O
# https://research-engine.appspot.com/37001/notebooks/2001/5705514549772288
# \lambda_{ir} 16O 18O
 0 0 0
 0.005 -3.735300000001773e-05 -3.464899999999771e-05
 0.01 -0.0001496100000000222 -0.0001387669999999841
 0.015 -0.0003373630000000349 -0.0003128920000000091
 0.02 -0.0006016140000000281 -0.0005579189999999623
 0.025 -0.0009438010000000219 -0.0008751379999999975
 0.03 -0.001365828000000013 -0.001266253999999967
 0.035 -0.001870120000000031 -0.001733435000000005
 0.04 -0.002459679000000048 -0.002279364999999978
 0.045 -0.003138175000000021 -0.002907313999999994
 0.05 -0.003910046 -0.003621233999999973
 0.055 -0.004780644000000001 -0.004425876999999967
 0.06 -0.005756414000000043 -0.005326953999999995
 0.065 -0.006845132000000032 -0.006331331999999967
 0.07000000000000001 -0.008056216000000005 -0.007447303999999988
 0.075 -0.009401142000000029 -0.008684937000000004
 0.08 -0.01089400500000004 -0.01005654499999997
 0.08500000000000001 -0.01255228800000002 -0.011577332
 0.09 -0.01439790300000005 -0.013266273
 0.095 -0.01645866900000004 -0.01514732699999999
 0.1 -0.018770393 -0.01725117199999998
 0.105 -0.02137978000000001 -0.01961764799999999
 0.11 -0.02434858500000003 -0.02229920499999999
 0.115 -0.02775925600000001 -0.02536577099999998
 0.12 -0.03172218500000001 -0.02891121699999999
 0.125 -0.03638357799999997 -0.03306113100000002
 0.13 -0.04193000400000008 -0.03797968400000001
 0.135 -0.04858104200000007 -0.04386917699999998
 0.14 -0.05655823200000004 -0.05095113899999998
 0.145 -0.06603000600000003 -0.05942051899999995
 0.15 -0.07706121500000002 -0.06938812599999994
 0.155 -0.08960770200000007 -0.08085288900000004
 0.16 -0.1035579740000001 -0.09372682199999999
 0.165 -0.118783954 -0.107886417
 0.17 -0.135171922 -0.123212805
 0.175 -0.152632362 -0.1396088539999999
 0.18 -0.171098396 -0.157000941
 0.185 -0.190520659 -0.175334745
 0.19 -0.2108625650000001 -0.194570015
 0.195 -0.2320963710000001 -0.214676458
 0.2 -0.254200514 -0.235630752
 0.205 -0.277157815 -0.257414409
 0.21 -0.300954297 -0.280012434
 0.215 -0.325578349 -0.303412434
 0.22 -0.351020229 -0.3276040079999999
 0.225 -0.3772716170000001 -0.3525783119999999
 0.23 -0.404325431 -0.378327782
 0.235 -0.432175527 -0.404845877
 0.24 -0.4608166790000001 -0.43212698
 0.245 -0.490244351 -0.460166169
 0.25 -0.5204545950000001 -0.488959266


